step,global_coherence,fragmentation,variance,avg_trust,avg_echo_integrity,quarantined_nodes,alive,edges,avg_degree,edge_efficiency,state
0,0.6061894961498304,0.3938105038501696,0.04417473488095672,0.9872833333333334,1.0,0,60,193,6.433333333333334,0.0031408782183929037,ADAPTING
1,0.6772727683772752,0.32272723162272476,0.04452215539256002,0.9775416666666668,1.0,0,60,193,6.433333333333334,0.0035091853283796643,ADAPTING
2,0.7353640148870715,0.2646359851129285,0.038835324078853636,0.9732541666666668,1.0,0,60,193,6.433333333333334,0.003810176242938194,ADAPTING
3,0.7686566116244304,0.23134338837556956,0.03255115533032417,0.9696958333333333,1.0,0,60,193,6.433333333333334,0.003982676744168034,ADAPTING
4,0.7862033231459425,0.21379667685405745,0.02713901851455118,0.9663125000000002,1.0,0,60,193,6.433333333333334,0.004073592347906438,ADAPTING
5,0.7961394950842209,0.20386050491577912,0.022300116482212713,0.9629291666666667,1.0,0,60,193,6.433333333333334,0.00412507510406332,ADAPTING
6,0.8121712606186617,0.18782873938133826,0.018571666168284446,0.95905,1.0,0,60,193,6.433333333333334,0.004208141246728817,ADAPTING
7,0.8363479273640337,0.16365207263596626,0.015163136687203838,0.9559583333333334,1.0,0,60,193,6.433333333333334,0.004333408950072714,ADAPTING
8,0.8582703222457225,0.14172967775427747,0.011449600663618423,0.9550833333333334,1.0,0,60,193,6.433333333333334,0.0044469964883198055,ADAPTING
9,0.8690686047902283,0.1309313952097717,0.007740639125530372,0.9571541666666666,1.0,0,60,193,6.433333333333334,0.004502946138809473,ADAPTING
10,0.8651747450000259,0.1348252549999741,0.005114475260848846,0.9591375000000001,1.0,0,60,193,6.433333333333334,0.004482770699482,ADAPTING
11,0.8518048579218684,0.14819514207813156,0.003995787600511216,0.9612666666666666,1.0,0,60,193,6.433333333333334,0.004413496673170303,ADAPTING
12,0.833275174366284,0.16672482563371605,0.0032986028499810316,0.9622875000000001,1.0,0,60,193,6.433333333333334,0.004317487950084373,ADAPTING
13,0.8169257032827141,0.18307429671728592,0.003344763374573634,0.9629291666666668,1.0,0,60,193,6.433333333333334,0.004232775664677275,ADAPTING
14,0.8091939278747855,0.1908060721252145,0.0034120047078006898,0.9614416666666666,1.0,0,60,193,6.433333333333334,0.004192714652200961,ADAPTING
15,0.8125685332764873,0.18743146672351274,0.002709656684561931,0.9601583333333331,1.0,0,60,193,6.433333333333334,0.004210199654282317,ADAPTING
16,0.8226986229355867,0.1773013770644133,0.0018959847053835789,0.9590791666666667,1.0,0,60,193,6.433333333333334,0.0042626871654693615,ADAPTING
17,0.834797163639685,0.16520283636031496,0.0017065912579795404,0.9600416666666666,1.0,0,60,193,6.433333333333334,0.004325373904868835,ADAPTING
18,0.8423632642996566,0.15763673570034342,0.0015479022047407338,0.9625791666666667,1.0,0,60,193,6.433333333333334,0.004364576498961951,ADAPTING
19,0.8478758703839354,0.15212412961606459,0.0013341253203990227,0.9657583333333335,1.0,0,60,193,6.433333333333334,0.00439313922478723,ADAPTING
20,0.8467712310557325,0.1532287689442675,0.0013123510668898671,0.9693166666666666,1.0,0,60,193,6.433333333333334,0.004387415704951982,ADAPTING
21,0.8392978071869485,0.16070219281305154,0.0012861213319662749,0.9715916666666666,1.0,0,60,193,6.433333333333334,0.00434869330148678,ADAPTING
22,0.828831531061397,0.17116846893860305,0.0015051402691763156,0.9725833333333332,1.0,0,60,193,6.433333333333334,0.004294463891509829,ADAPTING
23,0.8195830789167202,0.18041692108327978,0.001595661167312233,0.9717958333333334,1.0,0,60,193,6.433333333333334,0.0042465444503457005,ADAPTING
24,0.8142895043412882,0.18571049565871178,0.0015852103345651368,0.9710958333333332,1.0,0,60,193,6.433333333333334,0.004219116602804602,ADAPTING
25,0.8173767298267368,0.18262327017326319,0.0013078438538285963,0.9700166666666665,1.0,0,60,193,6.433333333333334,0.0042351125897758385,ADAPTING
26,0.8262160070633017,0.17378399293669833,0.0011022853590864441,0.9688208333333335,1.0,0,60,193,6.433333333333334,0.004280911953695864,ADAPTING
27,0.837150847990598,0.16284915200940198,0.0010854993691067094,0.9701041666666668,1.0,0,60,193,6.433333333333334,0.0043375691605730465,ADAPTING
28,0.8436333393237608,0.15636666067623917,0.0013983359925248745,0.9728166666666668,1.0,0,60,193,6.433333333333334,0.004371157198568709,ADAPTING
29,0.8440790859332983,0.15592091406670172,0.0019564852447540738,0.9763166666666667,1.0,0,60,193,6.433333333333334,0.004373466766493773,ADAPTING
30,0.8429136505168782,0.15708634948312183,0.0019477835331324336,0.9773666666666667,1.0,0,60,193,6.433333333333334,0.004367428241020094,ADAPTING
31,0.8406743134533607,0.15932568654663926,0.001467827951499955,0.9771625,1.0,0,60,193,6.433333333333334,0.004355825458307569,ADAPTING
32,0.8367595230370409,0.16324047696295907,0.0012181566269549653,0.9782125,1.0,0,60,193,6.433333333333334,0.004335541570140109,ADAPTING
33,0.8350910443249118,0.16490895567508823,0.0016024693909734446,0.9792041666666667,1.0,0,60,193,6.433333333333334,0.00432689660271975,ADAPTING
34,0.8311210114622933,0.16887898853770666,0.0019197252745262654,0.9792624999999998,1.0,0,60,193,6.433333333333334,0.0043063264842605874,ADAPTING
35,0.8307523784896608,0.16924762151033923,0.0014860171551534954,0.9792333333333333,1.0,0,60,193,6.433333333333334,0.004304416468858346,ADAPTING
36,0.8316231319790196,0.1683768680209804,0.00134539840178706,0.9796125000000001,1.0,0,60,193,6.433333333333334,0.004308928144969013,ADAPTING
37,0.8330405472446124,0.1669594527553876,0.0013404213979790803,0.9799333333333333,1.0,0,60,193,6.433333333333334,0.004316272265516127,ADAPTING
38,0.8344782954688692,0.1655217045311308,0.0014432794693590536,0.9806041666666669,1.0,0,60,193,6.433333333333334,0.004323721738180669,ADAPTING
39,0.8321784085303087,0.16782159146969133,0.001300064378240057,0.9815666666666666,1.0,0,60,193,6.433333333333334,0.0043118052255456405,ADAPTING
40,0.828669981404991,0.17133001859500896,0.0013203647266731714,0.9818874999999999,1.0,0,60,193,6.433333333333334,0.004293626846657985,ADAPTING
41,0.8283619483407487,0.17163805165925128,0.0012063974760098343,0.9824125000000001,1.0,0,60,193,6.433333333333334,0.004292030820418387,ADAPTING
42,0.8281714911207911,0.17182850887920886,0.0008548848103466932,0.9829666666666665,1.0,0,60,193,6.433333333333334,0.004291043995444514,ADAPTING
43,0.831438150594779,0.168561849405221,0.0008401995918055538,0.9839583333333334,1.0,0,60,193,6.433333333333334,0.004307969692200928,ADAPTING
44,0.8357684324667205,0.1642315675332795,0.0011876487473861295,0.9852124999999999,1.0,0,60,193,6.433333333333334,0.00433040638583793,ADAPTING
45,0.8383958628594471,0.16160413714055288,0.0015043217820852493,0.9865250000000001,1.0,0,60,193,6.433333333333334,0.004344020014815788,ADAPTING
46,0.8382652847377748,0.16173471526222516,0.0014366707468505687,0.9864083333333333,1.0,0,60,193,6.433333333333334,0.004343343444237175,ADAPTING
47,0.8341526960714291,0.16584730392857094,0.0016746568170271736,0.9857083333333333,1.0,0,60,193,6.433333333333334,0.004322034694670617,ADAPTING
48,0.8326215047339397,0.1673784952660603,0.0020694504315227073,0.9855041666666666,1.0,0,60,193,6.433333333333334,0.004314101060797615,ADAPTING
49,0.8320504288764049,0.1679495711235951,0.0020686162156021465,0.9848625000000001,1.0,0,60,193,6.433333333333334,0.0043111421185305955,ADAPTING
50,0.8335301722705353,0.16646982772946473,0.0018250467329400948,0.9846583333333334,1.0,0,60,193,6.433333333333334,0.004318809182748887,ADAPTING
51,0.8356601258681562,0.1643398741318438,0.0015256977983666732,0.985475,1.0,0,60,193,6.433333333333334,0.004329845211752104,ADAPTING
52,0.8365114862763019,0.1634885137236981,0.0017285083519406159,0.9856791666666667,1.0,0,60,193,6.433333333333334,0.004334256405576694,ADAPTING
53,0.8363089393447461,0.16369106065525385,0.0018471516617763156,0.9862916666666667,1.0,0,60,193,6.433333333333334,0.004333206939610083,ADAPTING
54,0.8330269208872056,0.16697307911279435,0.0016377653321436828,0.9879833333333334,1.0,0,60,193,6.433333333333334,0.004316201662628008,ADAPTING
55,0.8300589705999627,0.1699410294000373,0.0016107302588745603,0.9866708333333334,1.0,0,60,193,6.433333333333334,0.004300823681865092,ADAPTING
56,0.829329991406864,0.17067000859313597,0.0015592476779248408,0.9853583333333333,1.0,0,60,193,6.433333333333334,0.004297046587600332,ADAPTING
57,0.8282501844788174,0.17174981552118262,0.0015522814055175527,0.9856208333333333,1.0,0,60,193,6.433333333333334,0.004291451733050867,ADAPTING
58,0.8297666932373334,0.17023330676266657,0.0018066442625365006,0.9858833333333334,1.0,0,60,193,6.433333333333334,0.004299309291385147,ADAPTING
59,0.8334753092349163,0.1665246907650837,0.0017904661830461931,0.9858833333333333,1.0,0,60,193,6.433333333333334,0.004318524918315628,ADAPTING
60,0.8393732612598683,0.16062673874013167,0.0013539135712440226,0.987575,1.0,0,60,193,6.433333333333334,0.004349084255232478,ADAPTING
61,0.8427277484116177,0.15727225158838232,0.0010418042791134259,0.9888875,1.0,0,60,193,6.433333333333334,0.004366465017676776,ADAPTING
62,0.8412160745586216,0.15878392544137843,0.0013517030750561977,0.9911916666666668,1.0,0,60,193,6.433333333333334,0.004358632510666433,ADAPTING
63,0.8384105482953303,0.16158945170466965,0.001560566374526549,0.9922708333333333,1.0,0,60,193,6.433333333333334,0.0043440961051571525,ADAPTING
64,0.8351568879137744,0.1648431120862256,0.0015279872159161406,0.9918916666666667,1.0,0,60,193,6.433333333333334,0.004327237761211266,ADAPTING
65,0.8294261793044615,0.1705738206955385,0.001305626306785681,0.9906958333333333,1.0,0,60,193,6.433333333333334,0.0042975449704894374,ADAPTING
66,0.8240384778865292,0.17596152211347083,0.0013086722837411455,0.9889166666666667,1.0,0,60,193,6.433333333333334,0.004269629419101187,ADAPTING
67,0.8254500233267764,0.17454997667322358,0.001595672034084766,0.9881291666666667,1.0,0,60,193,6.433333333333334,0.004276943126045474,ADAPTING
68,0.8323886250865941,0.16761137491340594,0.0016576087386613733,0.9876041666666667,1.0,0,60,193,6.433333333333334,0.004312894430500487,ADAPTING
69,0.8412192610363589,0.1587807389636411,0.001342829416520358,0.9873416666666667,1.0,0,60,193,6.433333333333334,0.004358649020913777,ADAPTING
70,0.8479071377853018,0.1520928622146982,0.001107379466604075,0.9898208333333333,1.0,0,60,193,6.433333333333334,0.004393301232048196,ADAPTING
71,0.8506165594523322,0.14938344054766783,0.0010992961067216415,0.9920666666666665,1.0,0,60,193,6.433333333333334,0.004407339686281514,ADAPTING
72,0.8480874335579632,0.15191256644203677,0.0011072749945993043,0.9946625,1.0,0,60,193,6.433333333333334,0.004394235407036079,ADAPTING
73,0.8388178409635685,0.16118215903643152,0.0013290143446766734,0.9947791666666667,1.0,0,60,193,6.433333333333334,0.004346206429863049,ADAPTING
74,0.8288388144789344,0.17116118552106563,0.0014537005781157246,0.9938458333333333,1.0,0,60,193,6.433333333333334,0.004294501629424531,ADAPTING
75,0.8239792534557939,0.17602074654420607,0.001295621590163354,0.9917458333333333,1.0,0,60,193,6.433333333333334,0.004269322556765771,ADAPTING
76,0.824275244618601,0.17572475538139898,0.0012192322656036194,0.9896458333333334,1.0,0,60,193,6.433333333333334,0.0042708561897336845,ADAPTING
77,0.8255851136639715,0.17441488633602853,0.0013498236025302002,0.9898208333333333,1.0,0,60,193,6.433333333333334,0.004277643075979127,ADAPTING
78,0.8294585351242139,0.17054146487578614,0.0012765958731571247,0.9890625,1.0,0,60,193,6.433333333333334,0.004297712617223906,ADAPTING
79,0.8354756408228622,0.1645243591771378,0.0012260560617100564,0.9892958333333333,1.0,0,60,193,6.433333333333334,0.004328889330688405,ADAPTING
80,0.6693764543372658,0.3306235456627342,0.05007419908924803,0.9787666666666667,1.0,0,60,193,6.433333333333334,0.0034682717841309106,RECOVERING
81,0.684354341081233,0.31564565891876695,0.04609518915395879,0.9715333333333334,1.0,0,60,193,6.433333333333334,0.0035458774149286685,RECOVERING
82,0.7187198606747259,0.28128013932527407,0.03252556123694036,0.9640083333333335,1.0,0,60,193,6.433333333333334,0.003723937101941585,RECOVERING
