step,global_coherence,fragmentation,variance,avg_trust,avg_echo_integrity,quarantined_nodes,alive,edges,avg_degree,edge_efficiency,state
0,0.6009816383240708,0.3990183616759292,0.04373141128831694,0.9872833333333334,1.0,0,60,60,2.0,0.010016360638734513,ADAPTING
1,0.6613987656263998,0.33860123437360024,0.04227712863885225,0.9768125,1.0,0,60,60,2.0,0.011023312760439996,ADAPTING
2,0.7108958466148916,0.2891041533851084,0.036290018027883696,0.9710375,1.0,0,60,60,2.0,0.011848264110248193,ADAPTING
3,0.7461509185225085,0.2538490814774915,0.031124418754157775,0.96675,1.0,0,60,60,2.0,0.012435848642041808,ADAPTING
4,0.7713799479558665,0.2286200520441335,0.024081707476579197,0.9626083333333335,1.0,0,60,60,2.0,0.012856332465931108,ADAPTING
5,0.7911008443080403,0.20889915569195971,0.019305697508162276,0.9582333333333334,1.0,0,60,60,2.0,0.013185014071800671,ADAPTING
6,0.8102281647504517,0.18977183524954833,0.01582936437531853,0.9556666666666664,1.0,0,60,60,2.0,0.013503802745840862,ADAPTING
7,0.8253977406555498,0.17460225934445017,0.012569310452307332,0.9556958333333333,1.0,0,60,60,2.0,0.01375662901092583,ADAPTING
8,0.8462812564227442,0.1537187435772558,0.010852038836281441,0.9558416666666667,1.0,0,60,60,2.0,0.014104687607045736,ADAPTING
9,0.8585474537616106,0.14145254623838943,0.009396861085027993,0.9569499999999999,1.0,0,60,60,2.0,0.014309124229360176,ADAPTING
10,0.8552461695998583,0.14475383040014167,0.007810049861822922,0.9577666666666665,1.0,0,60,60,2.0,0.014254102826664306,ADAPTING
11,0.8413664273433998,0.15863357265660016,0.007434265217327924,0.9586124999999999,1.0,0,60,60,2.0,0.014022773789056664,ADAPTING
12,0.8224246074690952,0.17757539253090482,0.007125550645190821,0.9587291666666666,1.0,0,60,60,2.0,0.013707076791151586,ADAPTING
13,0.8083645012277902,0.19163549877220976,0.00716762563714479,0.9582041666666667,1.0,0,60,60,2.0,0.013472741687129837,ADAPTING
14,0.7984396503624847,0.20156034963751535,0.004974142816738923,0.9550541666666668,1.0,0,60,60,2.0,0.013307327506041411,ADAPTING
15,0.7994944354946637,0.2005055645053363,0.0030658631712835926,0.9518458333333333,1.0,0,60,60,2.0,0.013324907258244395,ADAPTING
16,0.8061738392209336,0.19382616077906645,0.00263906778352986,0.9492499999999999,1.0,0,60,60,2.0,0.013436230653682225,ADAPTING
17,0.8151493764884451,0.1848506235115549,0.003208757551180108,0.9485791666666666,1.0,0,60,60,2.0,0.013585822941474085,ADAPTING
18,0.8226651648243174,0.1773348351756826,0.0031898048777328825,0.9498625,1.0,0,60,60,2.0,0.013711086080405289,ADAPTING
19,0.8263801165720543,0.17361988342794565,0.002467085513362162,0.9510875000000001,1.0,0,60,60,2.0,0.013773001942867572,ADAPTING
20,0.82483337241469,0.17516662758531,0.0023250784104288783,0.9527208333333331,1.0,0,60,60,2.0,0.013747222873578166,ADAPTING
21,0.8192146617716707,0.18078533822832932,0.0022456488988463782,0.9535083333333333,1.0,0,60,60,2.0,0.013653577696194512,ADAPTING
22,0.8164903029529633,0.18350969704703668,0.0025213874864147413,0.9540041666666667,1.0,0,60,60,2.0,0.013608171715882722,ADAPTING
23,0.8148555016264605,0.18514449837353952,0.0032510014291353886,0.9526041666666667,1.0,0,60,60,2.0,0.013580925027107674,ADAPTING
24,0.814809718920616,0.18519028107938396,0.002670380369614309,0.9524875,1.0,0,60,60,2.0,0.013580161982010267,ADAPTING
25,0.8168487895138934,0.1831512104861066,0.0026084435304372286,0.9512333333333335,1.0,0,60,60,2.0,0.013614146491898222,ADAPTING
26,0.8128321927125992,0.1871678072874008,0.0029058535611416044,0.9510291666666667,1.0,0,60,60,2.0,0.013547203211876654,ADAPTING
27,0.8113459635215226,0.18865403647847745,0.0028293942089600214,0.9507958333333332,1.0,0,60,60,2.0,0.01352243272535871,ADAPTING
28,0.8116517778686732,0.18834822213132685,0.0026605071417879914,0.9489583333333333,1.0,0,60,60,2.0,0.013527529631144553,ADAPTING
29,0.8153233476478093,0.18467665235219066,0.002661560541551911,0.9470625,1.0,0,60,60,2.0,0.013588722460796822,ADAPTING
30,0.820994803019042,0.17900519698095796,0.002479835149828794,0.9459541666666668,1.0,0,60,60,2.0,0.013683246716984034,ADAPTING
31,0.8298879272247123,0.17011207277528773,0.0023623430827609355,0.9483750000000001,1.0,0,60,60,2.0,0.013831465453745204,ADAPTING
32,0.8387698398598263,0.16123016014017366,0.00261849200004181,0.9521083333333331,1.0,0,60,60,2.0,0.013979497330997105,ADAPTING
33,0.8416684280791795,0.15833157192082048,0.0028195641168028405,0.9552583333333333,1.0,0,60,60,2.0,0.014027807134652992,ADAPTING
34,0.8401119344288567,0.15988806557114332,0.0027523120379529197,0.9574458333333333,1.0,0,60,60,2.0,0.014001865573814278,ADAPTING
35,0.8313259152427163,0.16867408475728374,0.0028530873635338157,0.9591666666666666,1.0,0,60,60,2.0,0.013855431920711937,ADAPTING
36,0.8235268015498557,0.1764731984501443,0.003082479537563398,0.9603916666666666,1.0,0,60,60,2.0,0.013725446692497595,ADAPTING
37,0.8135125192732269,0.18648748072677312,0.003434834074691718,0.9595458333333333,1.0,0,60,60,2.0,0.013558541987887114,ADAPTING
38,0.8101174395464347,0.18988256045356533,0.0031725944824261445,0.9581750000000001,1.0,0,60,60,2.0,0.013501957325773912,ADAPTING
39,0.8140177934739516,0.18598220652604835,0.0028153550803086545,0.9570375,1.0,0,60,60,2.0,0.01356696322456586,ADAPTING
40,0.8187511917825055,0.18124880821749445,0.0033793053144961275,0.9558125000000001,1.0,0,60,60,2.0,0.013645853196375093,ADAPTING
41,0.8190941715300517,0.1809058284699483,0.003943479122829952,0.9562208333333332,1.0,0,60,60,2.0,0.013651569525500862,ADAPTING
42,0.8211265694139784,0.17887343058602156,0.003909717036599921,0.9579708333333332,1.0,0,60,60,2.0,0.013685442823566308,ADAPTING
