tick,experiment,topology,use_corridor,use_thermal,use_pruning,mean_C,min_C,mean_E,max_E,mean_L,max_L,mean_P,max_P,mean_T,survival_pass
0,x13_v03_01_grid_baseline_shock,grid,False,False,False,0.7416557513355119,0.6320221284222889,0.194591622968819,0.27329221343291044,0.12954133420480599,0.2315501806156218,0.904120119416254,1.5544610514496193,0.5439047534322261,True
1,x13_v03_01_grid_baseline_shock,grid,False,False,False,0.7409080361469121,0.648216526729618,0.1746065986510923,0.2549956596163989,0.11891581340233023,0.22075785291680705,0.8729482550385419,1.5148993620902726,0.5439047534322261,True
2,x13_v03_01_grid_baseline_shock,grid,False,False,False,0.742988605736377,0.6516374903766279,0.15466719224989722,0.23573649895073376,0.1080239611328011,0.20959805062377945,0.8370584949193782,1.4711645098614603,0.5439047534322261,True
3,x13_v03_01_grid_baseline_shock,grid,False,False,False,0.7453853057268875,0.6743610806261696,0.13459666778985288,0.21675662295551923,0.09681550692104487,0.19756951920997615,0.796164817457034,1.4213558318603616,0.5439047534322261,True
4,x13_v03_01_grid_baseline_shock,grid,False,False,False,0.7510899539097209,0.6712422461857076,0.11455507868594107,0.19843929762696397,0.08528292476701885,0.18515367818700013,0.7502025606252753,1.3620350018862672,0.5439047534322261,True
5,x13_v03_01_grid_baseline_shock,grid,False,False,False,0.7583917103528612,0.6825269372159958,0.09448768622005951,0.17908952963888106,0.07336707669824705,0.1723958415350849,0.6988313343493806,1.2944501828250163,0.5439047534322261,True
6,x13_v03_01_grid_baseline_shock,grid,False,False,False,0.7634053274994617,0.6814625251679624,0.07537617926652793,0.15915738629545909,0.06121285270562779,0.15920129314397946,0.6418772494551445,1.2207534136639486,0.5439047534322261,True
7,x13_v03_01_grid_baseline_shock,grid,False,False,False,0.7716389474172545,0.6900856871310255,0.05924479475007058,0.13938486208592724,0.04899395630521655,0.14563793778271264,0.5798099730916678,1.1592695332126772,0.5439047534322261,True
8,x13_v03_01_grid_baseline_shock,grid,False,False,False,0.7797525066906817,0.7064247427544561,0.0473091607621704,0.12163810299765951,0.03764409498425801,0.13169860569232633,0.513006634352873,1.1093265579945604,0.5439047534322261,True
9,x13_v03_01_grid_baseline_shock,grid,False,False,False,0.7874826152492662,0.7251823611986878,0.03897230907732359,0.10296943720805132,0.027586916029665703,0.11737129292686754,0.44275588579954966,1.0599481574790919,0.5439047534322261,True
10,x13_v03_01_grid_baseline_shock,grid,False,False,False,0.795347757084589,0.7333479221509742,0.033802423662087605,0.08339120963276188,0.019025123832512425,0.10299132681769757,0.37094409433686976,1.0050377327916666,0.5439047534322261,True
11,x13_v03_01_grid_baseline_shock,grid,False,False,False,0.8044549296390251,0.732911109479186,0.031560585823066485,0.06286752237922782,0.012305170241528388,0.08852892152443104,0.30071276509067035,0.9428149179712942,0.5439047534322261,True
12,x13_v03_01_grid_baseline_shock,grid,False,False,False,0.8132715205407256,0.7136092909504773,0.030237941265284472,0.04093229649475677,0.00784474415572458,0.07419614798130394,0.23616779469434462,0.8739467258499447,0.5439047534322261,True
13,x13_v03_01_grid_baseline_shock,grid,False,False,False,0.8207372873411561,0.7298143461286292,0.03,0.03,0.004510214774180132,0.059997670271527435,0.18002700240335426,0.7978654682737383,0.5439047534322261,True
14,x13_v03_01_grid_baseline_shock,grid,False,False,False,0.8301541140070509,0.7716522929353175,0.03,0.03,0.0020788114436680674,0.045647420917015055,0.1313105693178082,0.7213636735597121,0.5439047534322261,True
15,x13_v03_01_grid_baseline_shock,grid,False,False,False,0.8390083857114916,0.764014108172637,0.03,0.03,0.0008252252875542423,0.031402642987598005,0.09580257645345,0.6445487704466114,0.5439047534322261,True
16,x13_v03_01_grid_baseline_shock,grid,False,False,False,0.8471443554709301,0.7791900503051777,0.03,0.03,0.0002655159842597409,0.016993022992623417,0.07149640700056328,0.5662704695706052,0.5439047534322261,True
17,x13_v03_01_grid_baseline_shock,grid,False,False,False,0.8563843768292241,0.780894558822231,0.03,0.03,3.748676488858326e-05,0.0023991529528693285,0.05089739323229872,0.4868902183019633,0.5439047534322261,True
18,x13_v03_01_grid_baseline_shock,grid,False,False,False,0.8615388050291193,0.78476751097145,0.03,0.03,0.0,0.0,0.03513322317432041,0.40529490525645273,0.5439047534322261,True
19,x13_v03_01_grid_baseline_shock,grid,False,False,False,0.8698683385324056,0.812471669523588,0.03,0.03,0.0,0.0,0.023428314409468215,0.323101428175819,0.5439047534322261,True
20,x13_v03_01_grid_baseline_shock,grid,False,False,False,0.8749172738454656,0.8068804057770905,0.03,0.03,0.0,0.0,0.012374462059463813,0.2408849088762027,0.5439047534322261,True
21,x13_v03_01_grid_baseline_shock,grid,False,False,False,0.8820396798410677,0.8221036906987459,0.03,0.03,0.0,0.0,0.004959748247697139,0.15881356500283705,0.5439047534322261,True
22,x13_v03_01_grid_baseline_shock,grid,False,False,False,0.8900136732517101,0.8206326594232192,0.03,0.03,0.0,0.0,0.0012132001408796304,0.07654724639870236,0.5439047534322261,True
23,x13_v03_01_grid_baseline_shock,grid,False,False,False,0.8943588554805914,0.8179650159256526,0.03,0.03,0.0,0.0,0.0,0.0,0.5439047534322261,True
24,x13_v03_01_grid_baseline_shock,grid,False,False,False,0.8967701939923712,0.8315734312648211,0.03,0.03,0.0,0.0,0.0,0.0,0.5439047534322261,True
25,x13_v03_01_grid_baseline_shock,grid,False,False,False,0.9033147876511125,0.837264545367071,0.03,0.03,0.0,0.0,0.0,0.0,0.5439047534322261,True
