tick,experiment,topology,use_corridor,use_thermal,use_pruning,mean_C,min_C,mean_E,max_E,mean_L,max_L,mean_P,max_P,mean_T,survival_pass
0,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.736981258795075,0.6380683682039039,0.19207007769358192,0.3083768029997291,0.1331014925374313,0.23196883621767106,0.9532542167330336,1.4798951864974283,0.543066901130425,True
1,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.7421425651634159,0.6303849798125124,0.1723785440516467,0.29076755179176234,0.1225248109668301,0.22059446252399315,0.9219680032060104,1.4505107177711052,0.543066901130425,True
2,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.7519128224192633,0.6667836423154836,0.15236669743307812,0.27164275937299787,0.11157954441061167,0.20893910561441772,0.8854138844362469,1.4152005679610473,0.543066901130425,True
3,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.7632385191452512,0.6707934882987869,0.13204867737768147,0.25135427651141906,0.10017824737112802,0.19620845346979376,0.8430310454661629,1.3724655451567658,0.543066901130425,True
4,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.7747423706062215,0.6821607588927735,0.1119318340079942,0.23108197812796824,0.08828863550980104,0.18275675316698672,0.7945826835265553,1.3203505060434089,0.543066901130425,True
5,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.7877785964767045,0.6857747937844296,0.09191467717027127,0.21043305755652347,0.0760471768120532,0.16875417880336263,0.7400983747748205,1.263075017173522,0.543066901130425,True
6,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.7991659400938523,0.7109945291257957,0.0729099014204484,0.1895316459581504,0.06342603541783293,0.15437060281340592,0.6794411446656317,1.1974986445059979,0.543066901130425,True
7,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.8140579063697375,0.7253913446814919,0.0567705222074527,0.16934682766456585,0.05098310204748534,0.13929406609777872,0.6130270972966847,1.1273332455153464,0.543066901130425,True
8,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.8261577385654054,0.7609864833063472,0.04512164802946553,0.14762169674900832,0.039294716573559964,0.12380229015656077,0.541175942457651,1.0510095972414097,0.543066901130425,True
9,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.8390197054737962,0.7551283261069471,0.03742143366473189,0.12599299864037938,0.028387450358958212,0.10800040027220405,0.46640806572747295,0.9713992334700849,0.543066901130425,True
10,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.8559641341183619,0.7861603825727577,0.03336653263225079,0.10221976830995003,0.01870695393895349,0.09201783111009698,0.3913497280307346,0.889723476352227,0.543066901130425,True
11,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.8697035371184163,0.787328936050413,0.031633065825001666,0.07879338772381547,0.010860626689064483,0.07616528412368312,0.316970338196662,0.8052143584120396,0.543066901130425,True
12,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.8840524363318427,0.8149880814439252,0.03074159982186299,0.05522111321371908,0.006040367084517774,0.06036271068030431,0.24348298093741277,0.7197348731468991,0.543066901130425,True
13,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.8967187562353712,0.8158443236963028,0.03,0.03,0.0033833076282348083,0.0452493400692565,0.1763199064488868,0.6324196380377374,0.543066901130425,True
14,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9088333952391956,0.8213657553365654,0.03,0.03,0.0017161469993820218,0.03047440942912539,0.12100203117656824,0.5433567043396845,0.543066901130425,True
15,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9220459942000006,0.8426857743402392,0.03,0.03,0.00047521362786950454,0.015412941661580809,0.07438315927319934,0.4527440800809304,0.543066901130425,True
16,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9344208773991676,0.872409750125833,0.03,0.03,7.333158116470105e-07,4.693221194540867e-05,0.03870610903226076,0.36185066129507865,0.543066901130425,True
17,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9470894323756107,0.863923597491733,0.03,0.03,0.0,0.0,0.017484911958853606,0.26828475376622185,0.543066901130425,True
18,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9586721105678764,0.8918815787938271,0.03,0.03,0.0,0.0,0.007360084675988851,0.1713039900904198,0.543066901130425,True
19,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9690330774123233,0.9168223988095217,0.03,0.03,0.0,0.0,0.001796456910958301,0.07350399009041982,0.543066901130425,True
20,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.97708753126117,0.9134793569576569,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
21,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.982576753713839,0.9231355998506227,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
22,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9893539381653895,0.93823590368183,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
23,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9916419581735136,0.9350287867759156,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
24,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9941792641939687,0.9498986094986894,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
25,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9935966353701604,0.9450472438124329,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
26,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9959317863143546,0.9533598493221918,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
27,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9973070368863384,0.9719818379785757,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
28,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.997894201408036,0.9770196632650194,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
29,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9982115307635013,0.9806506725131962,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
30,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9982194513053348,0.9759164109227114,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
31,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.997811616988515,0.9698182189856539,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
32,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9973009724066706,0.961946825708929,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
33,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9971834115988579,0.9664161511421168,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
34,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9973343371097652,0.9669991724210262,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
35,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9984166739273483,0.9860197677831275,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
36,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9978218100441527,0.9804146739508942,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
37,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9977871738221734,0.9814590041761423,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
38,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9982609521019024,0.9838486046173193,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
39,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9981594055763069,0.9690384536897001,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
40,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9972994554648855,0.9613713869082278,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
41,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.997523671945159,0.9660923758599884,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
42,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9981984296717303,0.9795170102114128,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
43,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9973884751793989,0.9724557967220581,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
44,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9986713505567659,0.984678465413206,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
45,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9987524852988734,0.9795516221488088,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
46,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9977414007449441,0.9855160507995192,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
47,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9983526392840206,0.9813584332272703,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
48,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9981574849218205,0.9805952642762493,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
49,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9985684100672582,0.9808610569022155,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
50,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9992757149696916,0.9919274680390718,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
51,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9990140411098809,0.9883150663689482,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
52,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9983845116464776,0.9846299745824391,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
53,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.998659454199329,0.9755282606996404,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
54,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9976436088694316,0.9784970402956168,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
55,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9980942880118747,0.9837610669049955,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
56,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9982546687885447,0.9858443330946148,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
57,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9981158873003317,0.9760389709833797,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
58,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9975378350034587,0.97716255236164,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
59,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9969431166797602,0.9731748306562357,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
60,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9979219605558931,0.9701922883017395,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
61,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9980208533038194,0.9773254144864584,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
62,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9985479691639532,0.9816913852332384,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
63,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9988914065183572,0.9864978397054692,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
64,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9984338716602803,0.9706507696696929,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
65,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9974861160862343,0.9845206118704063,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
66,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9970089734290608,0.9703289431943277,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
67,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9973570692167509,0.9635713175968293,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
68,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9974423433071511,0.9688894976857958,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
69,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9988398295312708,0.9880912885375412,0.03,0.03,0.0,0.0,0.0,0.0,0.543066901130425,True
70,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9872297419740295,0.961317728640542,0.0702609804079046,0.10296371295427552,0.001903943757563615,0.008782188617969883,0.4184391293442922,0.6403412813031568,0.543066901130425,True
71,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9721390755510995,0.9249246898794041,0.11312743491174776,0.1734292824541211,0.0047391890976042905,0.017837884944802443,0.860533819556789,1.2759314867336147,0.543066901130425,True
72,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9574500722485048,0.9179375247853162,0.15612291396275188,0.23283475054484049,0.008122209760488618,0.025367320056492327,1.309023238997836,1.8491035238857143,0.543066901130425,True
73,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9408265551242856,0.8881865255541646,0.20279065541144564,0.2933018633920406,0.012731586680365928,0.03382493736088067,1.788100873710027,2.414281637135663,0.543066901130425,True
74,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.9203735622054203,0.8604698381393592,0.2547336762522243,0.37409698731640356,0.019188697077026445,0.04864841539030374,2.3088700796075017,3.1391435624200303,0.543066901130425,True
75,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.8968512846290515,0.8419522153382256,0.30814812191608576,0.4458614108462019,0.026664941210848312,0.06232486113796982,2.8456379019693325,3.8224495882518577,0.543066901130425,True
76,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.8679243219639137,0.7826855946892649,0.36048912775644415,0.5130150750025934,0.034686547665027614,0.07432732471615758,3.3805549078212493,4.4724177625602115,0.543066901130425,True
77,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.8365870688283831,0.7411291148294492,0.42240676198092886,0.6346618592824256,0.045819968891456855,0.1003542398205382,3.9837981592058904,5.485962019687849,0.543066901130425,True
78,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.8006805774232466,0.7015216711366938,0.48610357313813807,0.7137814881240877,0.05834347963695856,0.12092926206717722,4.604048872721362,6.247658972164876,0.543066901130425,True
79,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.7632608821875462,0.6449498557154862,0.5545007967163336,0.8033659680298311,0.073003556546022,0.14476848203452453,5.260114833450016,7.086847041645421,0.543066901130425,True
80,x13_v03_02_grid_attractor_corridor,grid,True,False,False,0.7196109100487069,0.5795115768265371,0.6257064831703982,0.8999515955868594,0.08941242801059196,0.17139888613975082,5.939820205349924,7.9631222411152285,0.543066901130425,False
