tick,experiment,topology,use_corridor,use_thermal,use_pruning,mean_C,min_C,mean_E,max_E,mean_L,max_L,mean_P,max_P,mean_T,survival_pass
0,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.75432895441812,0.6240585260776647,0.20033425471680663,0.2988083255497472,0.1361645189265311,0.2519581723894009,0.9223631255899811,1.382596518181221,0.5395986656846786,True
1,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.7630575376967452,0.6450919155260285,0.17956629920710976,0.27779565231805897,0.12539127731304023,0.24244105694485918,0.8912388065081122,1.353262238771381,0.541614850929937,True
2,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.7749777677128488,0.6711968263241159,0.15825987763300542,0.2551693023404274,0.11417016982339834,0.23231402045776053,0.8542136768596603,1.3179775134110552,0.5433588386922501,True
3,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.785685231636722,0.6750045638700302,0.13624877360184393,0.23257046766011574,0.10248791922441744,0.22104867478565574,0.8108233818817325,1.2790152891243292,0.5448339546304282,True
4,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.7970962392538647,0.690310938908941,0.1141066181707929,0.21050959564248334,0.09047060859765538,0.20918520830016207,0.7610261382243192,1.2315697467669677,0.5460417558182729,True
5,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.8099119546944278,0.7154296193904967,0.09239320300502946,0.186767339666685,0.077952206741669,0.19683206907738898,0.7047166214636537,1.1789677699473444,0.546989485813796,True
6,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.8275560427484077,0.7515302387320981,0.07314555700106226,0.16422664182625585,0.06491080860414586,0.18384453832412997,0.6426824117117814,1.1213325549276265,0.5476897542978049,True
7,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.8406351264140048,0.7619339405993778,0.05687935905822114,0.14167591796567394,0.051664999168140484,0.17017996784346504,0.5755450814978988,1.0655368863590344,0.5481751377302857,True
8,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.8569687068150809,0.7884607604397817,0.04519739297744314,0.11834665536366873,0.03894792921957538,0.15624983888223995,0.5034698316437524,1.003175625393854,0.5484823269134989,True
9,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.8737667964965551,0.7986149447344009,0.037220534786839864,0.09404606552476451,0.027829220391195494,0.14179989426468728,0.4296409960836467,0.9333661526020134,0.5486628663820412,True
10,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.8915439834783327,0.8221808175947128,0.03237937307777683,0.0683961484275012,0.018785707283342737,0.12685491373290825,0.3544849498713075,0.8541307981517625,0.5487578600056844,True
11,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.9060789609168599,0.84567031115119,0.03038307483303741,0.040661470688718344,0.011672318851086457,0.11158059399343942,0.2807839103929234,0.7658366167383146,0.5488014022162802,True
12,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.923503765060919,0.8542172261683559,0.03,0.03,0.006818668361894014,0.09598777426360873,0.2115706876235096,0.6758456427457838,0.5488235880936896,True
13,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.938180128306525,0.8717140007093722,0.03,0.03,0.0035142544738405454,0.08031199245681178,0.14962531592189826,0.5825538158666824,0.5488412332746915,True
14,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.9525610022817927,0.8959647779143524,0.03,0.03,0.0017110865653428983,0.06438102791820029,0.10087747043154299,0.48777598606155825,0.5488583138099012,True
15,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.9639729726790215,0.9096519349457091,0.03,0.03,0.0010190681649222264,0.04863607131415071,0.060493551807366486,0.39180873658487986,0.5488748477679843,True
16,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.9756178449278742,0.9210730204466608,0.03,0.03,0.0005106615075801241,0.032682336485127944,0.03202081727056984,0.29422836286569415,0.548890852639409,True
17,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.982115314880923,0.9293137232581916,0.03,0.03,0.0002581722205795007,0.016523022117088046,0.014519514871540878,0.19718033315085193,0.5489063453549478,True
18,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.9878713957676966,0.9366987178063403,0.03,0.03,2.734702639890015e-06,0.00017502096895296096,0.004964103223171536,0.10333496366464845,0.5489213423035895,True
19,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.9935716204021259,0.944152292891114,0.03,0.03,0.0,0.0,0.00014414626348112141,0.008015657191116535,0.5489358593498745,True
20,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.9969748516454371,0.9689491515722288,0.03,0.03,0.0,0.0,0.0,0.0,0.5489499118506785,True
21,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.9975219205926523,0.9644411529677299,0.03,0.03,0.0,0.0,0.0,0.0,0.5489635146714568,True
22,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.9980391412125181,0.9735757095949069,0.03,0.03,0.0,0.0,0.0,0.0,0.5489766822019702,True
23,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.9976617939075207,0.9691923521937177,0.03,0.03,0.0,0.0,0.0,0.0,0.548989428371507,True
24,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.9985840199444367,0.9865322939684263,0.03,0.03,0.0,0.0,0.0,0.0,0.5490017666636189,True
25,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.9981544636683297,0.9735768698072882,0.03,0.03,0.0,0.0,0.0,0.0,0.549013710130383,True
26,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.9993083209611362,0.9871080582927271,0.03,0.03,0.0,0.0,0.0,0.0,0.5490252714062107,True
27,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.9991630929658393,0.9806063397371626,0.03,0.03,0.0,0.0,0.0,0.0,0.5490364627212119,True
28,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.99879438903187,0.9814629366341395,0.03,0.03,0.0,0.0,0.0,0.0,0.549047295914133,True
29,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.9993581912401129,0.982258993444811,0.03,0.03,0.0,0.0,0.0,0.0,0.5490577824448808,True
30,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.9986833318499296,0.9872179863270033,0.03,0.03,0.0,0.0,0.0,0.0,0.5490679334066446,True
31,x13_v03_03_grid_thermal_runtime,grid,True,True,False,0.9991530061558425,0.9861546343310529,0.03,0.03,0.0,0.0,0.0,0.0,0.5490777595376319,True
