tick,experiment,topology,use_corridor,use_thermal,use_pruning,mean_C,min_C,mean_E,max_E,mean_L,max_L,mean_P,max_P,mean_T,survival_pass
0,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.7405766185600429,0.6480400699288654,0.19708336176846947,0.3270885378557664,0.13753348032422028,0.2229628068006665,0.9073385812154385,1.432768170448571,0.5419522203207034,True
1,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.7521240732979753,0.6537763948523483,0.17717209250705623,0.3060608408520087,0.1269622682548981,0.21348498669638788,0.8768780430910668,1.3854225735236763,0.5438605828881257,True
2,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.7612670565319608,0.6683598172673627,0.15654825855094318,0.28498418022788197,0.11590444423063331,0.2029205205331798,0.8404263175964728,1.3313925363424108,0.5455087651607762,True
3,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.7739858080019617,0.6882491928749851,0.13535593210629238,0.2636382873916676,0.10439331283277123,0.19159608020451455,0.7980648587128433,1.271221025400148,0.5468979672611409,True
4,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.7869999893373105,0.6978918956564538,0.11340362719866545,0.24227536784245005,0.092356551338224,0.1800469202518355,0.7492817725781474,1.2202090829513519,0.5480307916298472,True
5,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.8003420311446421,0.7047037769750689,0.09197339139170146,0.2216810127787262,0.0801191188894158,0.16775805652851586,0.6938636442254096,1.2003235731038462,0.5489078425696788,True
6,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.8117334727614848,0.7214452477040454,0.07336968619673681,0.20061274266768048,0.06740855854644939,0.15509596454410376,0.6319013448892306,1.1746969382130135,0.5495425255213662,True
7,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.827080140863608,0.7343197605920007,0.057314007793932864,0.17831708875612082,0.054550392421520835,0.14178286730729842,0.5642780549364914,1.141835062055476,0.5499708615666496,True
8,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.8416516902037107,0.745426427700492,0.045907136859963185,0.15653166938574495,0.04155985889666112,0.12794196369365213,0.49232306952885113,1.098083177519968,0.5502249340744563,True
9,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.8588109881999659,0.7734650114785669,0.038199368709168756,0.13556573611955663,0.029054191358226046,0.11374018779080233,0.41623871059214096,1.048217139287383,0.5503568075526732,True
10,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.8728968195710101,0.7978031787607619,0.03400099125589086,0.11274899522506096,0.018877655791232066,0.09861228285026238,0.33919091777833543,0.9898130008062125,0.5504073833980794,True
11,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.8838155382344928,0.8034301834368437,0.03168975968956247,0.08806148677712955,0.011084973746486891,0.08296991676156007,0.2667764424718727,0.9240658344128166,0.5504143570418998,True
12,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.9042133199901523,0.8211902215632675,0.030741914383412422,0.0624649162894969,0.005287906324377605,0.06718104062984576,0.2022920722885701,0.8493036976460415,0.5503979952134546,True
13,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.9186551005577029,0.8270032118622475,0.030069908786594574,0.03447416234205284,0.00240110695414526,0.05095055461274423,0.1452252158038817,0.76466327724393,0.5503726785104581,True
14,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.9314903258159151,0.8526091431280707,0.03,0.03,0.0010410510586464903,0.03451579829807057,0.09623135407309016,0.676464065408836,0.5503414518859894,True
15,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.946329497200665,0.8690015059669397,0.03,0.03,0.0004938123189794878,0.018627307764108827,0.05854884302980186,0.5870051975431141,0.5503105254256376,True
16,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.9582533279811776,0.8774994421836201,0.03,0.03,3.710238770499068e-05,0.0023745528131194037,0.030829294130702452,0.4960839604401074,0.5502805886120172,True
17,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.9715500721004144,0.8974159017451311,0.03,0.03,0.0,0.0,0.01359575901704916,0.40420525126955137,0.5502516097764327,True
18,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.9822309524505775,0.9196695548684564,0.03,0.03,0.0,0.0,0.007485663822249288,0.3113609527232509,0.5502235582635868,True
19,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.9871933776374102,0.9207884138063273,0.03,0.03,0.0,0.0,0.004475307844909801,0.21739754592234806,0.550196404399152,True
20,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.9925459653046689,0.9492192397557607,0.03,0.03,0.0,0.0,0.0018721843501566602,0.11981979841002625,0.5501701194583791,True
21,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.9951268538360799,0.9587516922329008,0.03,0.03,0.0,0.0,0.0003590307985906246,0.022977971109799974,0.5501446756357109,True
22,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.9966937362088977,0.9638498930536932,0.03,0.03,0.0,0.0,0.0,0.0,0.5501200460153681,True
23,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.9975280827218691,0.9695931713264312,0.03,0.03,0.0,0.0,0.0,0.0,0.5500962045428763,True
24,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.9976382724274265,0.9727930158171281,0.03,0.03,0.0,0.0,0.0,0.0,0.5500731259975042,True
25,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.9989024055923922,0.9714460822427138,0.03,0.03,0.0,0.0,0.0,0.0,0.5500507859655841,True
26,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.9988632123061647,0.9883767158437311,0.03,0.03,0.0,0.0,0.0,0.0,0.5500291608146854,True
27,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.9992213951887334,0.9719670999192702,0.03,0.03,0.0,0.0,0.0,0.0,0.5500082276686153,True
28,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.9992544492784894,0.9846869098961569,0.03,0.03,0.0,0.0,0.0,0.0,0.5499879643832197,True
29,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.9992179274102182,0.9852874710147129,0.03,0.03,0.0,0.0,0.0,0.0,0.5499683495229566,True
30,x13_v03_04_small_world_local_pruning,small_world,True,True,True,0.9989718989952773,0.9867310323540087,0.03,0.03,0.0,0.0,0.0,0.0,0.549949362338222,True
