tick,experiment,topology,use_corridor,use_thermal,use_pruning,mean_C,min_C,mean_E,max_E,mean_L,max_L,mean_P,max_P,mean_T,survival_pass
0,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.7496154544080147,0.6433334426119509,0.19519937100759988,0.27924487780699764,0.13419675840866613,0.2341129737285934,0.9593537380482751,1.376197135487951,0.5319706109191042,True
1,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.7599413224110545,0.6325255977490255,0.17472321283430298,0.2572120760700382,0.12343647142342828,0.2225829485269399,0.9274919643772576,1.32865955908,0.5341795450797688,True
2,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.7677634632654627,0.6635583007688176,0.15360685084481762,0.23499055441091476,0.11220365259970955,0.2108818876084514,0.8896316966043295,1.276438996235891,0.5361130317655594,True
3,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.7786860065933991,0.6836124351647566,0.13200551612235892,0.21313477243092904,0.10069440821999254,0.19858504480834147,0.8458821771642122,1.2435344826012424,0.5377734832575096,True
4,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.7920139842266982,0.676630706138087,0.11033499981599099,0.19095265523607782,0.0888843971670935,0.18574733164136087,0.7958014703412715,1.2047528261346288,0.5391647869544929,True
5,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.806285270615029,0.6904197293340044,0.08934646318493646,0.16960844083100596,0.07677221810388934,0.17232840488709777,0.739120401953306,1.1596855994375905,0.540294863770109,True
6,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.82235106901942,0.714799247716196,0.06936747254199577,0.1478049204041215,0.06437918169364812,0.15814306391629895,0.6759035997031126,1.1076089953291874,0.5411788927613148,True
7,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.8397587789773966,0.7443553965164291,0.053018892490862286,0.12468301246674582,0.05169482799628477,0.14321987846769454,0.6062049308661526,1.0495284665578128,0.5418348429183728,True
8,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.8561329640112996,0.7635520675966104,0.041516589824699496,0.10292177022877114,0.03888521699000014,0.1282592689371343,0.5308282348533275,0.9821835875434846,0.5423063168698935,True
9,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.8737805648584258,0.7800538433312094,0.034737684565625385,0.08077622072891188,0.02761476672292762,0.1130180900525793,0.45339831494109173,0.9074797883576599,0.5426476806283039,True
10,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.8878245333396638,0.799990044317875,0.03125463600996962,0.057141843860993385,0.01823837718908084,0.09770575041258743,0.3750026993975122,0.8254615438940449,0.5429103316938544,True
11,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.902573988647503,0.8044456029830527,0.030034068312631043,0.032180372008386735,0.011066882727158644,0.08221178818562253,0.2989127771218268,0.7420552036633637,0.5431297474397507,True
12,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9203648775555356,0.8399189179861176,0.03,0.03,0.006020494637603549,0.06686836007893399,0.22848708151110636,0.6603022156415345,0.543329936204805,True
13,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9330682902435463,0.8475516468724853,0.03,0.03,0.0026442382657073946,0.05099420583249318,0.16238247482676985,0.5758699663746323,0.5435233782462512,True
14,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.947973681727966,0.8720847985993826,0.03,0.03,0.0006126934264257527,0.03433149992290839,0.10763493725618553,0.4902527225776632,0.5437106301423711,True
15,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9589518058029078,0.8886181524833174,0.03,0.03,0.0002739686876572478,0.01753399601006386,0.06746934417957656,0.40455206934274157,0.5438918899778151,True
16,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9705518770871046,0.9079524848992607,0.03,0.03,9.967359395810361e-06,0.0006379110013318631,0.03764477442840375,0.3150629608368905,0.5440673494985251,True
17,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9799247714282122,0.9298167574908074,0.03,0.03,0.0,0.0,0.015687816573018674,0.22256930831723248,0.5442371943145723,True
18,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9852086321865106,0.9337288707042516,0.03,0.03,0.0,0.0,0.0025783160213115027,0.13114415086467662,0.5444016040965058,True
19,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9903580987070283,0.9318449426716338,0.03,0.03,0.0,0.0,0.0005678187927303047,0.0363404027347395,0.5445607527654176,True
20,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9940464521607115,0.9365218059087053,0.03,0.03,0.0,0.0,0.0,0.0,0.5447148086769242,True
21,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9960531058368065,0.9609872394778608,0.03,0.03,0.0,0.0,0.0,0.0,0.5448639347992628,True
22,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9969892499706206,0.9662398690713769,0.03,0.03,0.0,0.0,0.0,0.0,0.5450082888856862,True
23,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9984284221875549,0.975592658423716,0.03,0.03,0.0,0.0,0.0,0.0,0.5451480236413443,True
24,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9982866186519592,0.9850769204413677,0.03,0.03,0.0,0.0,0.0,0.0,0.5452832868848212,True
25,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9993158344938565,0.9808937771769558,0.03,0.03,0.0,0.0,0.0,0.0,0.5454142217045068,True
26,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9986565343613081,0.9834700405780902,0.03,0.03,0.0,0.0,0.0,0.0,0.5455409666099627,True
27,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9990722155128012,0.9865618140079693,0.03,0.03,0.0,0.0,0.0,0.0,0.5456636556784438,True
28,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9992616743005718,0.9866400053611467,0.03,0.03,0.0,0.0,0.0,0.0,0.5457824186967335,True
29,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9992631736579854,0.9871735463000593,0.03,0.03,0.0,0.0,0.0,0.0,0.545897381298438,True
30,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9988994854078717,0.9840737992174092,0.03,0.03,0.0,0.0,0.0,0.0,0.5460086650968881,True
31,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9992813328369984,0.9826638606827868,0.03,0.03,0.0,0.0,0.0,0.0,0.5461163878137876,True
32,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9978813525953997,0.974701171162944,0.03,0.03,0.0,0.0,0.0,0.0,0.5462206634037463,True
33,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9980524919246134,0.9810210740390269,0.03,0.03,0.0,0.0,0.0,0.0,0.5463216021748264,True
34,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9980360733732168,0.9801466210122517,0.03,0.03,0.0,0.0,0.0,0.0,0.546419310905232,True
35,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9992266092002576,0.9823606439180602,0.03,0.03,0.0,0.0,0.0,0.0,0.5465138929562645,True
36,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9990597576804853,0.9752247817562569,0.03,0.03,0.0,0.0,0.0,0.0,0.546605448381664,True
37,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9992742879962677,0.9865447325649184,0.03,0.03,0.0,0.0,0.0,0.0,0.5466940740334507,True
38,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9979432542118487,0.9816014736245882,0.03,0.03,0.0,0.0,0.0,0.0,0.5467798636643803,True
39,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9988591537116603,0.9846644141347126,0.03,0.03,0.0,0.0,0.0,0.0,0.5468629080271201,True
40,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.998424980993797,0.9799634483854643,0.03,0.03,0.0,0.0,0.0,0.0,0.5469432949702522,True
41,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9988775622410817,0.974318876317304,0.03,0.03,0.0,0.0,0.0,0.0,0.5470211095312041,True
42,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9993367701060194,0.9857963181270122,0.03,0.03,0.0,0.0,0.0,0.0,0.5470964340262054,True
43,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9989156943271057,0.9796058031528638,0.03,0.03,0.0,0.0,0.0,0.0,0.5471693481373668,True
44,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9982603397949197,0.9741842303348779,0.03,0.03,0.0,0.0,0.0,0.0,0.5472399289969712,True
45,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.998647283035003,0.9816384395300642,0.03,0.03,0.0,0.0,0.0,0.0,0.547308251269068,True
46,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9990437046916439,0.9896949909937389,0.03,0.03,0.0,0.0,0.0,0.0,0.5473743872284578,True
47,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9992454529252539,0.9909843393611539,0.03,0.03,0.0,0.0,0.0,0.0,0.5474384068371472,True
48,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9988495542915605,0.9889828688553332,0.03,0.03,0.0,0.0,0.0,0.0,0.5475003778183584,True
49,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.998808809921256,0.9863571898122814,0.03,0.03,0.0,0.0,0.0,0.0,0.5475603657281709,True
50,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9990544450143983,0.982113529775559,0.03,0.03,0.0,0.0,0.0,0.0,0.5476184340248694,True
51,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.999121422881075,0.981617321913118,0.03,0.03,0.0,0.0,0.0,0.0,0.5476746441360736,True
52,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9987784045201482,0.9792008463847578,0.03,0.03,0.0,0.0,0.0,0.0,0.5477290555237191,True
53,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9981735137642325,0.9760056214598469,0.03,0.03,0.0,0.0,0.0,0.0,0.5477817257469602,True
54,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9994820894813989,0.9929317135483616,0.03,0.03,0.0,0.0,0.0,0.0,0.5478327105230573,True
55,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9990655907820812,0.9752100118632957,0.03,0.03,0.0,0.0,0.0,0.0,0.5478820637863194,True
56,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9993022804935406,0.987642923769717,0.03,0.03,0.0,0.0,0.0,0.0,0.5479298377451572,True
57,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9983667111327639,0.9826500362126267,0.03,0.03,0.0,0.0,0.0,0.0,0.5479760829373121,True
58,x13_v03_05_runA_ring_local_pruning,ring,True,True,True,0.9979380158892392,0.9794974502936199,0.03,0.03,0.0,0.0,0.0,0.0,0.5480208482833182,True
