tick,experiment,topology,use_corridor,use_thermal,use_pruning,mean_C,min_C,mean_E,max_E,mean_L,max_L,mean_P,max_P,mean_T,survival_pass
0,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.7436175165259171,0.6359942015212288,0.20536582653775598,0.30169916336009206,0.13102789168135634,0.19957425261072687,0.8933245476856895,1.4343717217962801,0.5378225247253354,True
1,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.7524578174788931,0.6529480174343908,0.1852667066084832,0.27887138937699185,0.12051789795541842,0.18985122367304116,0.8645325068195296,1.3992963217486705,0.5399458621995021,True
2,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.76071537633671,0.6586615612710074,0.16462516933512283,0.2567928926478611,0.1095673911333171,0.1803392077544561,0.829988445570282,1.359126103650744,0.541800261675203,True
3,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.7715036005460112,0.6619412527508175,0.14347077720444176,0.23382426357016803,0.09817926672994803,0.17016547037812232,0.7896233716953568,1.3138908004336836,0.5433889049949477,True
4,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.7812156880962817,0.6583304577674298,0.12206876364561914,0.21150420649643809,0.08648070235808286,0.15964038157335003,0.7430484801670917,1.2631538114134782,0.5447151678071538,True
5,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.793539165810889,0.6810654353630998,0.10021917381863799,0.18964344785990886,0.07452950265938614,0.1488299199298348,0.6903454654055421,1.2055004040909472,0.5457849700737811,True
6,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.8059519429836779,0.7019624214282555,0.07987691659490057,0.16643988597864232,0.06229019735254737,0.13730319059139715,0.6323323418484446,1.1491190559910283,0.5466020427696064,True
7,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.8197038770498326,0.7274927447174804,0.06159437960610624,0.14398598924924175,0.04998392207729903,0.12520658018642195,0.5681212641262843,1.1081956632435632,0.5471895465669281,True
8,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.834985966943731,0.7331839627153597,0.04698745637520774,0.12198596761072125,0.03835231429245966,0.11269263650056008,0.4981130397966089,1.0624454443563287,0.5475754248728474,True
9,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.8528102686877718,0.7515807137698896,0.039250861994466285,0.09924239344465696,0.027403875652142556,0.09939656215376418,0.423237182716538,1.0088143159388385,0.5478028858406683,True
10,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.8703961557186445,0.780243356256039,0.03377260075132488,0.07526991494200226,0.01816043885753313,0.08529960813112285,0.3475453961504021,0.9465495024710483,0.5479457021137115,True
11,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.8867916385613321,0.8210458147672481,0.031016440639116436,0.049159211418251546,0.010813474738297524,0.0704181914520323,0.2737349610021994,0.8764803219190495,0.5480291656535861,True
12,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9029652830446127,0.8173135813344805,0.03,0.03,0.005579616215004476,0.05471340364235113,0.20644723535984685,0.7985686595568114,0.5480823967590623,True
13,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.919053031391212,0.8355962076205736,0.03,0.03,0.002356595608728514,0.04042175917833048,0.146526529484432,0.7170487064595181,0.5481237600627724,True
14,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9339822106862928,0.8332898954556449,0.03,0.03,0.0009753881925496816,0.025801027441160147,0.09604007589358268,0.6363173291031257,0.5481637997407637,True
15,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9503511844184012,0.8561815040045784,0.03,0.03,0.0002571831019602144,0.01122180932295854,0.0544953520690623,0.5538335274833858,0.5482025581490592,True
16,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9622720815251911,0.8770203981422706,0.03,0.03,0.0,0.0,0.028424920518047903,0.4687877349681495,0.5482400762882892,True
17,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9711403415950803,0.9058781692292156,0.03,0.03,0.0,0.0,0.013723658711948226,0.3809853430952916,0.548276393847064,True
18,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9800340163666849,0.9245841499330268,0.03,0.03,0.0,0.0,0.005916094718265864,0.29053953297146595,0.5483115492439579,True
19,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9865947305475944,0.9328568140004605,0.03,0.03,0.0,0.0,0.0031224819097575144,0.19983884222448092,0.5483455796681512,True
20,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9906791641718828,0.9352628455425847,0.03,0.03,0.0,0.0,0.0017045136992880092,0.10908887675443259,0.5483785211187704,True
21,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9961287594293328,0.9652909938425649,0.03,0.03,0.0,0.0,0.00025015414086357714,0.016009865015268937,0.5484104084429697,True
22,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9971046194498822,0.9712754648166878,0.03,0.03,0.0,0.0,0.0,0.0,0.5484412753727945,True
23,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9981273725596054,0.9742526174953579,0.03,0.03,0.0,0.0,0.0,0.0,0.5484711545608651,True
24,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9978196788541841,0.9759094682077923,0.03,0.03,0.0,0.0,0.0,0.0,0.5485000776149174,True
25,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9984915086254789,0.9698829384770997,0.03,0.03,0.0,0.0,0.0,0.0,0.54852807513124,True
26,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9984738179671193,0.9646577656127494,0.03,0.03,0.0,0.0,0.0,0.0,0.5485551767270402,True
27,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9981106586656068,0.9796636761703397,0.03,0.03,0.0,0.0,0.0,0.0,0.548581411071775,True
28,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9982880162449008,0.9822169400753689,0.03,0.03,0.0,0.0,0.0,0.0,0.5486068059174781,True
29,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9982646490059359,0.9786054830601102,0.03,0.03,0.0,0.0,0.0,0.0,0.5486313881281188,True
30,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9983653163826909,0.9731416949144047,0.03,0.03,0.0,0.0,0.0,0.0,0.548655183708019,True
31,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9987314383546853,0.984486733620185,0.03,0.03,0.0,0.0,0.0,0.0,0.5486782178293623,True
32,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.998701680162301,0.9820281917633437,0.03,0.03,0.0,0.0,0.0,0.0,0.5487005148588227,True
33,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9988019237649706,0.9869406952470609,0.03,0.03,0.0,0.0,0.0,0.0,0.5487220983833403,True
34,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9992716603148891,0.9882758417912724,0.03,0.03,0.0,0.0,0.0,0.0,0.5487429912350734,True
35,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9989078708770247,0.9876656484799422,0.03,0.03,0.0,0.0,0.0,0.0,0.5487632155155511,True
36,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9996295043184328,0.9894062321459731,0.03,0.03,0.0,0.0,0.0,0.0,0.5487827926190534,True
37,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9984795260292808,0.9801672379097841,0.03,0.03,0.0,0.0,0.0,0.0,0.5488017432552437,True
38,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.99895439636185,0.986732991983027,0.03,0.03,0.0,0.0,0.0,0.0,0.5488200874710758,True
39,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9983529710411949,0.9772941637874826,0.03,0.03,0.0,0.0,0.0,0.0,0.5488378446720014,True
40,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9984662737332927,0.9818086733473956,0.03,0.03,0.0,0.0,0.0,0.0,0.5488550336424973,True
41,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9991786830813543,0.9895271711088064,0.03,0.03,0.0,0.0,0.0,0.0,0.5488716725659373,True
42,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9988750749441909,0.9857123664811502,0.03,0.03,0.0,0.0,0.0,0.0,0.5488877790438274,True
43,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9989493808475598,0.9856661841378341,0.03,0.03,0.0,0.0,0.0,0.0,0.5489033701144248,True
44,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9981793873357796,0.9742432977575953,0.03,0.03,0.0,0.0,0.0,0.0,0.5489184622707632,True
45,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9991775486171073,0.9888405294951951,0.03,0.03,0.0,0.0,0.0,0.0,0.5489330714780988,True
46,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9991518358478326,0.9870928385473069,0.03,0.03,0.0,0.0,0.0,0.0,0.5489472131907995,True
47,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.998889293990474,0.9780144243876456,0.03,0.03,0.0,0.0,0.0,0.0,0.5489609023686939,True
48,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9977617777314461,0.9823447741049687,0.03,0.03,0.0,0.0,0.0,0.0,0.5489741534928957,True
49,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9986969820956034,0.9806547196333494,0.03,0.03,0.0,0.0,0.0,0.0,0.5489869805811229,True
50,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9982429459878702,0.9724300414334587,0.03,0.03,0.0,0.0,0.0,0.0,0.548999397202527,True
51,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.999683326016386,0.99350360690264,0.03,0.03,0.0,0.0,0.0,0.0,0.5490114164920461,True
52,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9993670301810413,0.9897423903534283,0.03,0.03,0.0,0.0,0.0,0.0,0.5490230511643006,True
53,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9992124338638281,0.9938440307483534,0.03,0.03,0.0,0.0,0.0,0.0,0.549034313527043,True
54,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9985615149944974,0.9741853951080648,0.03,0.03,0.0,0.0,0.0,0.0,0.5490452154941776,True
55,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.997996818101523,0.9786157685435124,0.03,0.03,0.0,0.0,0.0,0.0,0.5490557685983639,True
56,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9966122736295324,0.9733041764134466,0.03,0.03,0.0,0.0,0.0,0.0,0.5490659840032162,True
57,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9978562298637893,0.9675555081759946,0.03,0.03,0.0,0.0,0.0,0.0,0.5490758725151133,True
58,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9973840880312659,0.9770118873286223,0.03,0.03,0.0,0.0,0.0,0.0,0.5490854445946296,True
59,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9979973142390484,0.9693771309745299,0.03,0.03,0.0,0.0,0.0,0.0,0.5490947103676014,True
60,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9985720761339718,0.9793887273053238,0.03,0.03,0.0,0.0,0.0,0.0,0.5491036796358382,True
61,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9987737526236544,0.9723009674102143,0.03,0.03,0.0,0.0,0.0,0.0,0.5491123618874914,True
62,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9988773096802461,0.9834330413094624,0.03,0.03,0.0,0.0,0.0,0.0,0.5491207663070916,True
63,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9989054011726642,0.9795077275896298,0.03,0.03,0.0,0.0,0.0,0.0,0.5491289017852645,True
64,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9987559249879746,0.9741597775961978,0.03,0.03,0.0,0.0,0.0,0.0,0.5491367769281361,True
65,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9989017689016628,0.9855143530355613,0.03,0.03,0.0,0.0,0.0,0.0,0.5491444000664356,True
66,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9983649658867915,0.982889114706799,0.03,0.03,0.0,0.0,0.0,0.0,0.5491517792643097,True
67,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9985439476277778,0.9830359100475689,0.03,0.03,0.0,0.0,0.0,0.0,0.5491589223278518,True
68,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9992506309520697,0.9779348166249351,0.03,0.03,0.0,0.0,0.0,0.0,0.5491658368133605,True
69,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9990539313203379,0.9883477311482928,0.03,0.03,0.0,0.0,0.0,0.0,0.549172530035333,True
70,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.988623044468372,0.9552004366106014,0.069763882497754,0.10099952167533309,0.002127452788552203,0.008309339977574489,0.4151400879866053,0.6269278433650349,0.5528421572940254,True
71,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9766141790983892,0.9392124630136687,0.11009065284016267,0.1730388173972616,0.004380943518429095,0.01758392958242527,0.8403483221859517,1.268485610296478,0.5567879208146589,True
72,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9623139156974988,0.9110079788637075,0.15269319051674762,0.24999091515710628,0.007651574361831661,0.02927693237202568,1.286844838591123,1.9496579010157187,0.5610846085093404,True
73,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9460183727256783,0.8955848573812666,0.19774793872234356,0.3184829116856679,0.012031609550940282,0.04029910771790671,1.7556797697925313,2.592075361794845,0.5657456295609635,True
74,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9291506174084331,0.8588270443358919,0.24753742673321688,0.37367246475283533,0.017846189245166965,0.04919530126616932,2.2622941432842687,3.1520559650832314,0.5708884402117687,True
75,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.9057268345243856,0.8161620871353892,0.3009441417699566,0.4625958642359497,0.02519855959257057,0.06592406188504854,2.8000576860428756,3.912274699077728,0.5764890656435424,True
76,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.8807099665889762,0.7649340617142875,0.35584551204076803,0.5418050676443988,0.033687224280485845,0.08298358330215255,3.3533817947306996,4.645275400159796,0.5824465629055635,True
77,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.8511335331254886,0.7348809648336831,0.4165685423162071,0.6375670233518305,0.04442794373780623,0.10536194283382133,3.9514366983744753,5.494723787388574,0.5889690603504634,True
78,x13_v03_06_runB_small_world_local_pruning,small_world,True,True,True,0.8180621377690772,0.7039630854297411,0.4808334274608365,0.7260433098892813,0.05696471197756091,0.1273841403251999,4.578750070372612,6.307652634566336,0.5959727782911279,True
