tick,experiment,topology,use_corridor,use_thermal,use_pruning,mean_C,min_C,mean_E,max_E,mean_L,max_L,mean_P,max_P,mean_T,survival_pass
0,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.7335238652101101,0.6408583117462856,0.194800465884244,0.3103527667066726,0.12732583587530605,0.22204998059519104,0.917112254228386,1.5048458973176138,0.5408793994814067,True
1,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.7421979547415363,0.6527406198269431,0.1753219862412172,0.28796588566813097,0.11684961282390346,0.21223089229185224,0.886844360193543,1.4880800284543816,0.5427992633568444,True
2,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.7524202982045667,0.6519920901006282,0.15530571304724194,0.2655977554227804,0.10594455744593284,0.20132930995391446,0.8509908516435739,1.4648311609884312,0.5444629067918374,True
3,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.762536239754938,0.6809414334391268,0.13506879593604576,0.24318505606608642,0.09457527206091204,0.19008534924830284,0.8092600914634325,1.4360782685139228,0.545873150904971,True
4,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.7771649537819194,0.6910632350368445,0.1147348139525414,0.21930120653633908,0.0827405828884278,0.17830343980130323,0.761610297313815,1.4018555027949424,0.5470358980353724,True
5,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.793490413157107,0.6976853745539119,0.09432150228951544,0.1948097498708483,0.07038074476296133,0.16595455748390756,0.7075443325153234,1.3630761015981494,0.5479580974377659,True
6,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.8067767135554613,0.7165630822200122,0.07550803753703336,0.17577016809295556,0.057600022772362,0.15289407600781463,0.6468649996833109,1.316497404994297,0.5486466533426525,True
7,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.8226345024134882,0.7481510413857626,0.059279078762516195,0.15561345700192586,0.044911191211879684,0.1390591486794536,0.5802753737688754,1.2618910266203596,0.549125040811058,True
8,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.8393614387997057,0.7618275601054642,0.04658925031371778,0.13453074065585063,0.03276317834093715,0.12512698998637026,0.5107359386839863,1.1999855215702269,0.5494258302927293,True
9,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.8545475448479684,0.7616505820087034,0.037755065397210984,0.11231117745060558,0.02237476881980381,0.11077621382640986,0.43988871118059353,1.1301408540375733,0.5495900962264991,True
10,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.8699942129520001,0.7799235164593322,0.03287975446365476,0.09028152445972196,0.01368345504890876,0.0956719886976202,0.3680030816094928,1.0522978962198062,0.5496607638012232,True
11,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.8852303121480398,0.7971018275941202,0.03090982072141011,0.0671215513790233,0.007758215441369995,0.0799354058540311,0.29583667677298453,0.9679734143494614,0.5496804169042206,True
12,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9007708619868219,0.8063603747829003,0.030190214690293714,0.04217374017879785,0.003964677022765464,0.0639099474353888,0.22951214811520934,0.8811722079204465,0.5496797417704997,True
13,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9179011708722759,0.8441009649142586,0.03,0.03,0.0014681154685325785,0.047847491873432756,0.17023291092197781,0.7939586712558354,0.5496718921807466,True
14,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9335647222123331,0.8514774371118207,0.03,0.03,0.0005255205610973086,0.031237510190050874,0.11844888112875174,0.7054641127923599,0.5496623916309626,True
15,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9470105709896364,0.8779638761758654,0.03,0.03,0.00022229002851823496,0.014226561825167038,0.07492230312236495,0.6156276249322514,0.5496531950987718,True
16,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9611013238052862,0.9000522428118002,0.03,0.03,0.0,0.0,0.04410077212314405,0.5249861714137118,0.5496442928556111,True
17,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.971972511510172,0.9157433857098319,0.03,0.03,0.0,0.0,0.02379795546709819,0.43210931905079303,0.5496356754842315,True
18,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9841712258969535,0.9337358581238107,0.03,0.03,0.0,0.0,0.011454540660377259,0.33818018040732417,0.5496273338687361,True
19,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9903555531517866,0.9472254266789302,0.03,0.03,0.0,0.0,0.006817414384926632,0.24221070163333824,0.5496192591849365,True
20,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9937887049896104,0.9563311914250116,0.03,0.03,0.0,0.0,0.003531857059030326,0.14559615330620318,0.5496114428910185,True
21,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9956619426603663,0.9672680298110026,0.03,0.03,0.0,0.0,0.0007468148954094249,0.047796153306203196,0.5496038767185059,True
22,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9979582476429782,0.9771482905575304,0.03,0.03,0.0,0.0,0.0,0.0,0.5495965526635136,True
23,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9987119547750796,0.9727947530928515,0.03,0.03,0.0,0.0,0.0,0.0,0.5495894629782812,True
24,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9991020367628752,0.9873717267564771,0.03,0.03,0.0,0.0,0.0,0.0,0.5495826001629761,True
25,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9987837639781632,0.9763051140753478,0.03,0.03,0.0,0.0,0.0,0.0,0.5495759569577608,True
26,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9978728030777436,0.9718273727315464,0.03,0.03,0.0,0.0,0.0,0.0,0.5495695263351126,True
27,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9966975412624,0.9657792612848048,0.03,0.03,0.0,0.0,0.0,0.0,0.5495633014923889,True
28,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9985604134881766,0.9770284961775931,0.03,0.03,0.0,0.0,0.0,0.0,0.5495572758446323,True
29,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9983912072695367,0.9811406564184,0.03,0.03,0.0,0.0,0.0,0.0,0.5495514430176041,True
30,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9988874884646245,0.9794477336954103,0.03,0.03,0.0,0.0,0.0,0.0,0.5495457968410407,True
31,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9986328509495412,0.9789927067423303,0.03,0.03,0.0,0.0,0.0,0.0,0.5495403313421274,True
32,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9977016669645353,0.982523700295022,0.03,0.03,0.0,0.0,0.0,0.0,0.5495350407391792,True
33,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.997622187269751,0.9734163475217376,0.03,0.03,0.0,0.0,0.0,0.0,0.5495299194355254,True
34,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9994108072701978,0.9904190332586135,0.03,0.03,0.0,0.0,0.0,0.0,0.5495249620135887,True
35,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9992677283320129,0.9851229453930549,0.03,0.03,0.0,0.0,0.0,0.0,0.5495201632291539,True
36,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9987509419454921,0.9772569399139885,0.03,0.03,0.0,0.0,0.0,0.0,0.5495155180058209,True
37,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9987654400252612,0.9661037583415762,0.03,0.03,0.0,0.0,0.0,0.0,0.5495110214296346,True
38,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9987046804871034,0.9829491855526956,0.03,0.03,0.0,0.0,0.0,0.0,0.5495066687438862,True
39,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9991454798521153,0.9866789183551201,0.03,0.03,0.0,0.0,0.0,0.0,0.5495024553440817,True
40,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9990577059879833,0.9636671664997023,0.03,0.03,0.0,0.0,0.0,0.0,0.5494983767730712,True
41,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9977128545165277,0.9679070437052127,0.03,0.03,0.0,0.0,0.0,0.0,0.5494944287163328,True
42,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9983687516346302,0.9713840767997508,0.03,0.03,0.0,0.0,0.0,0.0,0.5494906069974101,True
43,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9976580460290725,0.9675245357625091,0.03,0.03,0.0,0.0,0.0,0.0,0.549486907573493,True
44,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.997636505439219,0.979378637618438,0.03,0.03,0.0,0.0,0.0,0.0,0.5494833265311412,True
45,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9981309705381509,0.975416655262953,0.03,0.03,0.0,0.0,0.0,0.0,0.5494798600821447,True
46,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9982454961506437,0.9756944690211932,0.03,0.03,0.0,0.0,0.0,0.0,0.5494765045595159,True
47,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9988856087556132,0.9801150579489826,0.03,0.03,0.0,0.0,0.0,0.0,0.5494732564136114,True
48,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9972183447295875,0.9738633113552172,0.03,0.03,0.0,0.0,0.0,0.0,0.5494701122083758,True
49,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.998148222787408,0.9764075912561768,0.03,0.03,0.0,0.0,0.0,0.0,0.5494670686177078,True
50,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9980076329340866,0.9744547481594736,0.03,0.03,0.0,0.0,0.0,0.0,0.5494641224219411,True
51,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9981705060655925,0.9814646529366498,0.03,0.03,0.0,0.0,0.0,0.0,0.5494612705044389,True
52,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9985787390777047,0.9800434132273148,0.03,0.03,0.0,0.0,0.0,0.0,0.5494585098482969,True
53,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9989996763152391,0.9868729577674212,0.03,0.03,0.0,0.0,0.0,0.0,0.5494558375331513,True
54,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9985656733583645,0.9745781691240322,0.03,0.03,0.0,0.0,0.0,0.0,0.5494532507320905,True
55,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9988467832564237,0.9793307723267002,0.03,0.03,0.0,0.0,0.0,0.0,0.5494507467086636,True
56,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9986156015109141,0.979219760880422,0.03,0.03,0.0,0.0,0.0,0.0,0.5494483228139863,True
57,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9992162038778031,0.9836873149351804,0.03,0.03,0.0,0.0,0.0,0.0,0.5494459764839388,True
58,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9992617857895992,0.9794715586908314,0.03,0.03,0.0,0.0,0.0,0.0,0.5494437052364527,True
59,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9991515228770911,0.9865553106047958,0.03,0.03,0.0,0.0,0.0,0.0,0.549441506668886,True
60,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9997490271520434,0.9916494145416409,0.03,0.03,0.0,0.0,0.0,0.0,0.5494393784554816,True
61,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9984455732538099,0.9651960366440051,0.03,0.03,0.0,0.0,0.0,0.0,0.5494373183449062,True
62,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9977699649255113,0.9637133999472369,0.03,0.03,0.0,0.0,0.0,0.0,0.5494353241578692,True
63,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9977472245509275,0.9679201750874351,0.03,0.03,0.0,0.0,0.0,0.0,0.5494333937848174,True
64,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.998326687560612,0.956681382820877,0.03,0.03,0.0,0.0,0.0,0.0,0.5494315251837032,True
65,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9977043664266514,0.9730914002421239,0.03,0.03,0.0,0.0,0.0,0.0,0.5494297163778246,True
66,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9985808169902295,0.9859261398459612,0.03,0.03,0.0,0.0,0.0,0.0,0.5494279654537342,True
67,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9982856371510079,0.9775882627250989,0.03,0.03,0.0,0.0,0.0,0.0,0.5494262705592147,True
68,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9982816028701998,0.9701416522822468,0.03,0.03,0.0,0.0,0.0,0.0,0.5494246299013199,True
69,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9988400118145173,0.9802043548284777,0.03,0.03,0.0,0.0,0.0,0.0,0.5494230417444776,True
70,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9883465526251525,0.9592705001916506,0.0677065346375911,0.11577683335948635,0.0019960209737279757,0.011865782966685067,0.4011369351375127,0.7266819230671819,0.5529844696684973,True
71,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9782670833721651,0.9441905127016197,0.10920008543843505,0.1941458281327739,0.004883586898746928,0.023124805036890166,0.8336719794041424,1.410738112298485,0.5569607595853332,True
72,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9620842023042782,0.9166744382930946,0.15471313773987028,0.25621844629423707,0.008587492584209242,0.03180024141614976,1.3002193241813214,2.0008721796095186,0.5613889973331727,True
73,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.947558631592129,0.8898441345114732,0.2030122624171603,0.3030779025774296,0.013613478960527406,0.03769849675970279,1.7914655874883154,2.497480769201176,0.5662169233065626,True
74,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9308048977355234,0.8645929816987272,0.24996290394755658,0.3676405826977488,0.01890203334980088,0.04853260365350083,2.2805932001097355,3.1200451267659184,0.5712645209989133,True
75,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.9091154363210557,0.8326877043833341,0.30227973427358,0.46514727624973334,0.026153423727070475,0.06580214020372234,2.812063142052385,3.934915256732791,0.5768294950754056,True
76,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.883999429899702,0.7892047206201864,0.3580340614075544,0.5300666388791729,0.034872872469989685,0.07828748719878886,3.372543211626745,4.567765874255885,0.5828408203911741,True
77,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.8543354984428377,0.7511337426265632,0.4174226263843671,0.5952994359966559,0.04531122966341879,0.09317515725629145,3.963111808238793,5.230009314882042,0.5893178287671157,True
78,x13_v03_07_v14c_RING_same_seed,ring,True,True,True,0.821694065275054,0.7059977033611631,0.47966445188831874,0.6816481366842698,0.05736032352713713,0.11204602826550705,4.577918061091175,6.005636383032753,0.5962305277236732,True
