tick,experiment,topology,use_corridor,use_thermal,use_pruning,mean_C,min_C,mean_E,max_E,mean_L,max_L,mean_P,max_P,mean_T,survival_pass
0,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.7336097231805367,0.6424412248522492,0.1947920941463468,0.3104878345756782,0.12732583587530605,0.22204998059519104,0.917112254228386,1.5048458973176138,0.5408793994814067,True
1,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.7423774313662941,0.656059717784599,0.17529820913514768,0.28830616462587094,0.11684795017610522,0.21223089229185224,0.8868333358895529,1.4880744662888485,0.5427991796394653,True
2,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.7526937992367478,0.6520814116850973,0.1552592543528714,0.26611502444436014,0.105939331339404,0.20132940743337366,0.8509552757885275,1.4648168301544253,0.5444625879823539,True
3,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.762852520422896,0.6806102579599298,0.13500587327228497,0.24394189781964462,0.09456447251408273,0.1900856459352248,0.8091846479133582,1.4360151556610024,0.5458723777104473,True
4,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.7774981588310192,0.6912713060067508,0.11465559797264299,0.22034928822204575,0.08272320937228261,0.17830387505253453,0.7614865428543023,1.4016698985396008,0.5470345203564357,True
5,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.793804897189116,0.6969611194375791,0.09420207565955882,0.1961978559289393,0.07035641669842768,0.16595468827598206,0.7073665796904798,1.3627443187174042,0.5479559716847563,True
6,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.8070967699358406,0.7156302787014591,0.07559403289621662,0.1736627416184699,0.05756845097971591,0.15289324366484486,0.6466255636439167,1.316059221587337,0.5486434013474397,True
7,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.8229961553570657,0.7502318541814644,0.05921040622788194,0.15316075937053936,0.044856930135952974,0.1390568023072862,0.5800229706957454,1.2613491099032172,0.5491227528332838,True
8,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.8397702891318095,0.7651916027616866,0.04663557916856069,0.1317851273808827,0.03271969558452367,0.12512258923073208,0.5103480576266971,1.199315193254418,0.5494229288048975,True
9,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.855002086126506,0.7662835156115307,0.037705266875766676,0.1093134372842086,0.02233167828776475,0.11076848885288429,0.4394609648149691,1.1292527016540337,0.5495877508748264,True
10,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.8705051224995928,0.7841651617229707,0.03272839499348654,0.08705104636218826,0.013668433921481458,0.09565985349229722,0.3675179841416395,1.051106656126471,0.5496579955155896,True
11,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.8857264362031909,0.8006452899064294,0.03089260997691799,0.0636835546154094,0.0077768209818751405,0.07991829962080738,0.295284638714282,0.9665428649381901,0.5496762236090256,True
12,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.9013220749670994,0.8096114242143189,0.030133748976116093,0.03855993447142995,0.003960138042820392,0.06388725261286597,0.22915470909176694,0.8794556356444866,0.5496755105533059,True
13,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.9184674635832474,0.8468581479346143,0.03,0.03,0.0014986972467032785,0.04781865800871245,0.17034516250147222,0.7918984713853187,0.5496672317053612,True
14,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.9341952733613051,0.8539324737808449,0.03,0.03,0.0005029850334962876,0.031202073524527654,0.11873828870275396,0.7030291498244784,0.5496578802907897,True
15,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.9475051258620493,0.8800331701747606,0.03,0.03,0.0002216261230587277,0.014184071875758573,0.07550541239873303,0.6127981285480438,0.5496488281214843,True
16,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.9617120656963639,0.899667240787269,0.03,0.03,0.0,0.0,0.04478737638007491,0.52173395736855,0.5496400656215967,True
17,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.9724954431255406,0.9039061031183068,0.03,0.03,0.0,0.0,0.024563778589949695,0.42848229651818004,0.5496315835217057,True
18,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.9845944121021554,0.9233451411184296,0.03,0.03,0.0,0.0,0.011281671878415007,0.33422368386794155,0.5496233728490111,True
19,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.9906783233981191,0.9437923078167015,0.03,0.03,0.0,0.0,0.006715645601748151,0.23798863169311985,0.5496154249178427,True
20,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.9939128340524828,0.9570118661699377,0.03,0.03,0.0,0.0,0.003445396891116269,0.14116220668894053,0.5496077313204717,True
21,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.995678450595805,0.9634515653307663,0.03,0.03,0.0,0.0,0.000677534479514696,0.043362206688940544,0.5496002839182166,True
22,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.9979688255850911,0.9797085852488068,0.03,0.03,0.0,0.0,0.0,0.0,0.5495930748328335,True
23,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.9988413127072693,0.9774012440373945,0.03,0.03,0.0,0.0,0.0,0.0,0.5495860964381829,True
24,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.9991423742673453,0.987328544797435,0.03,0.03,0.0,0.0,0.0,0.0,0.5495793413521609,True
25,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.9987868281502532,0.9762393027458296,0.03,0.03,0.0,0.0,0.0,0.0,0.5495728024288917,True
26,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.9978735747937189,0.9718487751039887,0.03,0.03,0.0,0.0,0.0,0.0,0.5495664727511672,True
27,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.9966995195938277,0.9657019820774677,0.03,0.03,0.0,0.0,0.0,0.0,0.5495603456231298,True
28,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.9985466585907072,0.9770284987737962,0.03,0.03,0.0,0.0,0.0,0.0,0.5495544145631897,True
29,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.9983799162340428,0.9811407826540028,0.03,0.03,0.0,0.0,0.0,0.0,0.5495486732971675,True
30,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.9988893143323772,0.9794477219967809,0.03,0.03,0.0,0.0,0.0,0.0,0.5495431157516582,True
31,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.9986305723703677,0.9789907070789714,0.03,0.03,0.0,0.0,0.0,0.0,0.549537736047605,True
32,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.9976984908225413,0.982523887284857,0.03,0.03,0.0,0.0,0.0,0.0,0.5495325284940817,True
33,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.9976256815396138,0.9731642585930248,0.03,0.03,0.0,0.0,0.0,0.0,0.549527487582271,True
34,x13_v03_08_v14c_SMALL_WORLD_same_seed,small_world,True,True,True,0.9994180441551153,0.9906669246397325,0.03,0.03,0.0,0.0,0.0,0.0,0.5495226079796384,True
