step,time_hours,x_m,y_m,corridor_center_y_m,corridor_error_m,vx_m_s,vy_m_s,speed_m_s,distance_to_earth_m,distance_to_moon_m,boundary_pressure,status
0,0.0,6292684.203278476,1750591.9734487357,1439358.5873664606,311233.3860822751,-1178.8596612025394,-415.6800442521074,1250.0,6531649.618564487,378111368.29148525,0.197001808230432,STABLE_CORRIDOR
1,0.16666666666666666,5572657.602612553,1540683.1972304105,1274784.3887875436,265898.8084428669,-1200.0443344432058,-349.84796036387513,1250.0,5781714.059877366,378830475.3482508,0.19245713022170596,STABLE_CORRIDOR
2,0.3333333333333333,4850192.1160303205,1339328.7319273083,1109608.3803364064,229720.35159090185,-1204.1091443037208,-335.5907755051703,1250.0,5031715.91155231,379552170.9412429,0.17213767514743314,STABLE_CORRIDOR
3,0.5,4127304.761758115,1139494.1177251365,944297.2038703364,195196.91385480005,-1204.8122571203426,-333.05769033695304,1250.0,4281715.945828425,380274402.4919389,0.1676985568870618,STABLE_CORRIDOR
4,0.6666666666666666,3404357.749451209,939875.4377462366,778939.4211953983,160936.01655083825,-1204.9116871781769,-332.69779996483305,1250.0000000000002,3531715.9462118666,380996801.5347985,0.16683147638735213,STABLE_CORRIDOR
5,0.8333333333333334,2681404.192523115,740280.4615443869,613552.948784303,126727.51276008389,-1204.9225948801568,-332.65829366974947,1250.0,2781715.9462146573,381719313.632928,0.16662608812825322,STABLE_CORRIDOR
6,1.0,1958450.0794626577,540687.4997221635,448144.92986109224,92542.5698610713,-1204.9235217674288,-332.65493637037224,1250.0,2031715.9462147004,382441932.12642777,0.16651976620546227,STABLE_CORRIDOR
7,1.1666666666666667,1235495.9075865045,341094.75093888363,282721.2526195622,58373.49831932143,-1204.9236197935886,-332.65458130546654,1250.0,1281715.9462147062,383164655.9144179,0.16642627429959372,STABLE_CORRIDOR
8,1.3333333333333333,512541.71187059896,141502.0885066985,117287.70004622408,24214.38846047441,-1204.9236595265093,-332.65443738697525,1250.0,531715.9462147073,383887484.36717933,0.16633551371062125,STABLE_CORRIDOR
9,1.5,-210412.50072969124,-58090.51276773345,0.0,-58090.51276773345,-1204.9236876671503,-332.6543354573866,1250.0,218284.0537852926,384610416.8876464,0.1662465813112757,STABLE_CORRIDOR
10,1.6666666666666667,512541.7089636242,141502.09903619488,117287.69938100917,24214.399655185713,1204.9236828221924,332.65435300654724,1250.0,531715.9462147073,383887484.3700902,0.16674488757476616,STABLE_CORRIDOR
11,1.8333333333333333,-210412.499559519,-58090.517006271664,0.0,-58090.517006271664,-1204.9236808719054,-332.65436007077756,1250.0,218284.0537852926,384610416.8864768,0.1662465559291698,STABLE_CORRIDOR
12,2.0,512541.7061132274,141502.10936075664,117287.69872874123,24214.41063201541,1204.923676121244,332.65437727838054,1249.9999999999998,531715.9462147073,383887484.37294436,0.16674489506198828,STABLE_CORRIDOR
13,2.1666666666666665,-210412.49838935246,-58090.521244789124,0.0,-58090.521244789124,-1204.9236741709665,-332.6543843425763,1250.0,218284.05378529266,384610416.8853073,0.16624656338800933,STABLE_CORRIDOR
14,2.3333333333333335,512541.70326283027,141502.119685319,117287.69807647321,24214.421608845776,1204.9236694203046,332.6544015501802,1250.0,531715.9462147073,383887484.37579864,0.1667449024459538,STABLE_CORRIDOR
15,2.5,-210412.4972191858,-58090.525483306934,0.0,-58090.525483306934,-1204.9236674700269,-332.65440861437656,1250.0000000000002,218284.05378529284,384610416.8841378,0.16624657084683875,STABLE_CORRIDOR
16,2.6666666666666665,512541.70041243266,141502.130009882,117287.69742420506,24214.432585676943,1204.923662719364,332.6544258219816,1250.0,531715.9462147072,383887484.37865275,0.1667449098299198,STABLE_CORRIDOR
17,2.8333333333333335,-210412.49604901893,-58090.52972182495,0.0,-58090.52972182495,-1204.923660769086,-332.65443288617826,1250.0,218284.05378529287,384610416.88296825,0.16624657830566875,STABLE_CORRIDOR
18,3.0,512541.6975620347,141502.14033444558,117287.69677193687,24214.443562508706,1204.9236560184227,332.6544500937842,1250.0,531715.9462147072,383887484.381507,0.16674491721388632,STABLE_CORRIDOR
19,3.1666666666666665,-210412.4948788517,-58090.53396034328,0.0,-58090.53396034328,-1204.923654068144,-332.6544571579814,1250.0,218284.05378529278,384610416.8817987,0.16624658576449916,STABLE_CORRIDOR
20,3.3333333333333335,512541.6947116364,141502.15065901005,117287.69611966857,24214.454539341474,1204.92364931748,332.6544743655889,1250.0,531715.9462147072,383887484.3843612,0.1667449245978533,STABLE_CORRIDOR
21,3.5,-210412.49370868434,-58090.538198861905,0.0,-58090.538198861905,-1204.9236473672013,-332.6544814297866,1250.0,218284.05378529272,384610416.8806292,0.16624659322333024,STABLE_CORRIDOR
22,3.6666666666666665,512541.69186123763,141502.16098357528,117287.69546740018,24214.4655161751,1204.9236426165367,332.6544986373953,1250.0,531715.9462147073,383887484.38721544,0.16674493198182094,STABLE_CORRIDOR
23,3.8333333333333335,-210412.49253851688,-58090.54243738079,0.0,-58090.54243738079,-1204.9236406662576,-332.65450570159345,1250.0,218284.0537852927,384610416.8794597,0.16624660068216185,STABLE_CORRIDOR
24,4.0,512541.6890108383,141502.17130814103,117287.69481513165,24214.47649300938,1204.9236359155918,332.654522909203,1249.9999999999995,531715.9462147071,383887484.39006954,0.16674493936578907,STABLE_CORRIDOR
25,4.166666666666667,-210412.4913683494,-58090.546675900056,0.0,-58090.546675900056,-1204.9236339653128,-332.6545299734018,1250.0,218284.05378529287,384610416.8782901,0.16624660814099398,STABLE_CORRIDOR
26,4.333333333333333,512541.6861604387,141502.1816327076,117287.69416286306,24214.487469844535,1204.9236292146468,332.65454718101273,1250.0,531715.9462147072,383887484.3929238,0.1667449467497577,STABLE_CORRIDOR
27,4.5,-210412.49019818148,-58090.55091441955,0.0,-58090.55091441955,-1204.923627264367,-332.6545542452119,1250.0,218284.05378529278,384610416.8771206,0.16624661559982667,STABLE_CORRIDOR
28,4.666666666666667,512541.68331003864,141502.19195727486,117287.6935105944,24214.49844668046,1204.9236225137001,332.65457145282403,1250.0,531715.9462147072,383887484.395778,0.16674495413372695,STABLE_CORRIDOR
29,4.833333333333333,-210412.48902801354,-58090.55515293928,0.0,-58090.55515293928,-1204.9236205634204,-332.6545785170236,1250.0,218284.05378529278,384610416.8759511,0.1662466230586599,STABLE_CORRIDOR
30,5.0,512541.68045963824,141502.2022818427,117287.69285832561,24214.5094235171,1204.923615812753,332.65459572463664,1250.0,531715.9462147072,383887484.3986322,0.1667449615176967,STABLE_CORRIDOR
31,5.166666666666667,-210412.48785784538,-58090.559391459334,0.0,-58090.559391459334,-1204.9236138624726,-332.6546027888367,1250.0,218284.05378529278,384610416.8747815,0.16624663051749358,STABLE_CORRIDOR
32,5.333333333333333,512541.67760923726,141502.2126064113,117287.69220605672,24214.520400354595,1204.9236091118044,332.65461999645106,1249.9999999999998,531715.9462147071,383887484.4014864,0.1667449689016669,STABLE_CORRIDOR
33,5.5,-210412.4866876772,-58090.563629979704,0.0,-58090.563629979704,-1204.9236071615242,-332.6546270606517,1250.0,218284.05378529296,384610416.873612,0.16624663797632788,STABLE_CORRIDOR
34,5.666666666666667,512541.6747588359,141502.22293098047,117287.6915537877,24214.53137719276,1204.9236024108552,332.65464426826696,1250.0,531715.946214707,383887484.4043406,0.1667449762856377,STABLE_CORRIDOR
35,5.833333333333333,-210412.48551750882,-58090.56786850028,0.0,-58090.56786850028,-1204.9236004605746,-332.6546513324679,1250.0,218284.053785293,384610416.8724425,0.16624664543516263,STABLE_CORRIDOR
36,6.0,512541.67190843425,141502.23325555035,117287.69090151867,24214.542354031684,1204.9235957099052,332.6546685400844,1250.0000000000002,531715.946214707,383887484.40719485,0.1667449836696089,STABLE_CORRIDOR
37,6.166666666666667,-210412.48434734019,-58090.572107021144,0.0,-58090.572107021144,-1204.923593759624,-332.65467560428584,1250.0,218284.05378529304,384610416.871273,0.16624665289399787,STABLE_CORRIDOR
38,6.333333333333333,512541.6690580322,141502.24358012094,117287.69024924951,24214.553330871422,1204.923589008954,332.6546928119035,1250.0000000000002,531715.9462147071,383887484.410049,0.1667449910535807,STABLE_CORRIDOR
39,6.5,-210412.4831771712,-58090.5763455423,0.0,-58090.5763455423,-1204.9235870586724,-332.6546998761054,1250.0,218284.05378529287,384610416.8701035,0.16624666035283367,STABLE_CORRIDOR
40,6.666666666666667,512541.6662076296,141502.25390469233,117287.68959698023,24214.564307712106,1204.9235823080014,332.6547170837244,1250.0,531715.946214707,383887484.4129033,0.16674499843755303,STABLE_CORRIDOR
41,6.833333333333333,-210412.48200700234,-58090.58058406375,0.0,-58090.58058406375,-1204.9235803577199,-332.6547241479268,1250.0,218284.053785293,384610416.8689339,0.1662466678116701,STABLE_CORRIDOR
